Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1058_1x2032,1,Battery_Cell,C5470546
"D1, D3, D4",1206,3,Red,C49018
"D2, D5, D6",1206,3,Amber,C5478408
"R1, R2, R3, R4, R7, R8",1206,6,120,C17909
R6,1206,1,10k,C1489
