BT1:1
BT2:1
CIAS:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
G***:1
H1:1
H2:1
J1:1
R1:1
R2:1
R3:1
R4:1
R6:1
SW1:1
SW2:1
U1:1
