Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.82,-80.4,180.0,bottom
D1,170.6,-67.6,0.0,top
D2,149.7,-98.7,0.0,top
D3,146.685,-76.07,270.0,top
D4,146.7,-83.6,90.0,top
D5,165.1,-75.9,90.0,top
D6,165.1,-83.6,90.0,top
R1,130.0375,-98.7,0.0,top
R2,136.2375,-98.7,0.0,top
R3,142.7375,-98.7,0.0,top
R4,156.8375,-98.7,0.0,top
R6,143.0625,-61.3,180.0,top
R7,163.1625,-98.6,0.0,top
R8,169.6625,-98.7,0.0,top
SW2,150.71,-65.7,180.0,top
U1,135.69,-67.69,180.0,top
